dims	16	32	48	64	80	96	112	128	144	160	176	192	208	224	240	256	272	288	304	320	336	352	368	384	400	416	432	448	464	480	496	512
336	14250	15004	13991	14052	14606	14085	14009	13978	13895	13916	13779	13771	13705	13648	14906	13635	13527	13486	13522	13550	13545	13681	13619	14116	13577	13567	13568	13640	13601	13550	13980	18703
352	14088	14155	14061	14162	14279	13920	13890	13787	13750	13741	13761	16815	13720	13604	13375	13520	13440	13436	15700	13354	15618	13713	14281	13501	15726	13488	13463	13431	13507	13512	13438	13486
368	14010	14788	13776	13773	13792	14126	14008	15808	14269	13653	13572	13484	13487	13425	14836	15368	14923	13293	13409	13301	13302	13282	13255	15442	13367	13301	13295	13375	13350	13303	13357	13378
384	16061	14019	13712	14396	13688	13715	13676	13788	13548	13555	14358	14075	13832	13481	13467	13280	13181	14336	13486	13308	13288	13283	14155	13527	13249	13269	13268	13327	13275	13276	13281	13255
400	13864	13654	14030	13805	15535	13695	16930	13636	13415	13561	14626	13742	13394	13497	13259	13539	13125	13223	13209	13165	13336	13504	13292	14172	13201	13361	13315	13377	13184	15182	13627	14071
416	13873	13728	13559	13591	13604	13696	13497	13861	13456	13459	13336	13337	13275	13242	13186	17167	14903	13433	12948	13133	13209	13325	13130	13129	13141	13432	13123	13137	13099	13130	13132	13126
432	13983	15288	14724	13563	13549	13618	13797	13481	13550	13287	13580	14097	13279	13240	13095	13143	13059	13091	13072	13036	13046	13066	13058	14573	14036	13153	13092	13110	14311	13178	13601	13296
448	14097	14631	13538	13585	15309	13638	13588	13335	13394	13320	13337	13226	13245	13774	13189	13047	13053	13045	13743	13148	13040	13137	13174	13151	13057	13090	13084	13032	13128	13041	13035	13104
464	14054	14304	13687	13747	13716	14049	13551	14862	13541	13526	13583	13374	13895	13232	13284	13193	13245	13157	13192	13182	13296	13125	13824	13267	13317	14257	13195	13250	13219	13106	13214	13342
480	13786	13547	13459	13627	13426	13504	15649	15937	13309	13235	13158	13096	13044	13061	13070	13387	13661	13000	12922	13007	13035	13109	12938	12981	13044	12957	13575	13023	12903	12976	12983	12972
496	13630	13486	14130	13553	13526	13380	13290	13284	13259	13189	13170	13041	16359	13077	13158	12960	12853	13035	12869	12902	12950	12923	12931	12909	12854	12885	12907	12944	12958	12927	12980	14295
512	13899	13556	13532	13618	13698	13975	14002	14355	14451	13767	13173	13124	13109	13073	12976	14412	12920	12930	14147	14323	14520	12917	12920	14092	12969	13765	13009	12922	13037	12973	13590	14130
